tau_eff,agreement
-0.1,0.6089813800657174
-0.03,0.6089813800657174
-0.01,0.6089813800657174
-0.003,0.6089813800657174
-0.001,0.6089813800657174
-0.0003,0.6089813800657174
-0.0001,0.6089813800657174
-3e-05,0.6089813800657174
-1e-05,0.6089813800657174
0.0,0.6089813800657174
1e-05,0.583789704271632
1.2471490704255336e-05,0.5805038335158818
1.5553808038632724e-05,0.5695509309967142
1.9397917236957995e-05,0.5662650602409639
2.4192094450263597e-05,0.5717415115005476
3.0171148105292956e-05,0.5662650602409639
3.7627919313187205e-05,0.5673603504928806
4.692762459348841e-05,0.5706462212486308
5.8525743389047476e-05,0.5717415115005476
7.299032646361388e-05,0.5629791894852135
9.102981779915228e-05,0.5618838992332968
0.00011352775264921833,0.5596933187294633
0.00014158603118397256,0.556407447973713
0.00017657888717633198,0.5498357064622125
0.00022022019499873735,0.552026286966046
0.000274647411481605,0.56078860898138
0.00034252626392406273,0.5542168674698795
0.0004271813116492258,0.5509309967141293
0.0005327587757264921,0.5443592552026287
0.00066442961190834,0.5355969331872946
0.0008286427728546842,0.5191675794085433
0.001033441063880556,0.5147864184008762
0.00128885506215821,0.5169769989047097
0.0016073943926838547,0.5169769989047097
0.0020046604226428844,0.5071193866374589
0.0025001103826179307,0.49835706462212487
0.0031180103396431774,0.48630887185104055
0.003888623696663187,0.4633077765607886
0.004849693428528196,0.4600219058050383
0.006048290651237758,0.447973713033954
0.007543120063354615,0.4414019715224535
0.0094073951751209,0.4304490690032859
0.01173242414777768,0.42716319824753557
0.014632081869739017,0.4238773274917853
0.018248387302235318,0.41511500547645125
0.022758459260747887,0.4085432639649507
0.028383191311359104,0.40416210295728366
0.035398070659671585,0.40306681270536693
0.044146670918066726,0.4063526834611172
0.05505747959784886,0.4019715224534502
0.06866488450042998,0.3964950711938664
0.08563534687558788,0.39978094194961666
0.10680004325145755,0.4019715224534502
0.13319557466246207,0.40306681270536693
0.16611473712508432,0.40306681270536693
0.20716983998953076,0.39978094194961666
0.2583716733631498,0.39759036144578314
0.3222279922591419,0.39759036144578314
0.4018663410110749,0.3953997809419496
0.5011872336272722,0.3953997809419496
